"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"Lack1","Entropiq",20,1,13,40,0,3,1,0,0.83,0.04,0.54,78.5,1883,199,0,0,2,3,8,2,1,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",36.03,2,0,3,1
"NickelBack","Entropiq",10,7,14,40,0,4,2,0,0.42,0.29,0.58,62.5,1500,168,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",37.47,1,1,4,1
"El1an","Entropiq",17,5,10,23.53,0,0,1,0,0.71,0.21,0.42,79,1895,85,0,0,1,3,8,1,1,0,0,1,1,0,0,1,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",59.24,5,4,0,0
"Forester","Entropiq",16,0,12,43.75,0,1,2,0,0.67,0,0.5,66.5,1595,249,0,0,2,1,8,1,2,0,0,1,1,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",7.16,5,3,1,1
"Krad","Entropiq",19,6,14,31.58,0,3,0,0,0.79,0.25,0.58,89.1,2138,299,0,0,2,3,7,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",31.56,0,0,3,1
"arT","FURIA",16,2,16,62.5,0,3,1,0,0.67,0.08,0.67,74.7,1793,252,0,0,1,3,7,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",36.17,4,0,3,2
"KSCERATO","FURIA",11,4,15,27.27,0,3,2,0,0.46,0.17,0.62,68.5,1644,232,0,0,1,2,4,1,1,0,0,0,0,0,0,0,0,1,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",61.06,1,1,3,3
"yuurih","FURIA",16,3,15,18.75,0,1,1,0,0.67,0.12,0.62,74,1775,277,0,0,0,4,8,3,0,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",73.81,2,1,1,0
"VINI","FURIA",12,4,22,41.67,0,2,0,0,0.5,0.17,0.92,61.5,1475,291,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,1,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",14.67,2,1,2,2
"drop","FURIA",8,2,14,12.5,0,2,0,0,0.33,0.08,0.58,51.5,1235,173,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",31.98,4,2,2,0
"drop","FURIA",18,7,17,50,0,5,4,1,0.64,0.25,0.61,66.8,1870,195,0,0,0,6,6,4,4,0,0,0,0,0,0,1,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",63.73,3,2,5,3
"KSCERATO","FURIA",19,5,17,26.32,0,3,0,0,0.68,0.18,0.61,60,1680,183,0,0,1,3,10,5,2,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",80.36,3,2,3,2
"arT","FURIA",17,7,23,35.29,0,4,2,0,0.61,0.25,0.82,70.2,1965,311,0,0,1,3,8,2,2,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",103.12,0,0,4,1
"yuurih","FURIA",23,4,17,34.78,0,1,0,1,0.82,0.14,0.61,93,2604,269,0,1,1,3,10,3,4,0,0,1,0,0,0,1,1,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",87.11,2,1,1,1
"Krad","Entropiq",16,3,21,56.25,0,3,0,0,0.57,0.11,0.75,70.1,1962,275,0,1,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","02-11-2021","BO1","PGL Major Stockholm 2021",69.28,5,3,3,1
